StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_3_TEXT,Q3,Q3_6_TEXT,Q4,Q4_6_TEXT,Q6_NPS_GROUP,Q6,Q5,Q7,Q8_NPS_GROUP,Q8,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Quiz6,Quiz7,Q8_1,Q8_2,SC0,Q3_6_TEXT - Topics,Q3_6_TEXT - Parent Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please specify your year of birth,What gender do you identify as? - Selected Choice,What gender do you identify as? - Prefer to self-describe - Text,Please specify your ethnicity - Selected Choice,Please specify your ethnicity - Other (please specify) - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Other (please specify) - Text,How would you rate your health in general? - Group,How would you rate your health in general?,Do you currently have health insurance?,How often do you get a health checkup?,Would you agree that it is important for everyone to get an influenza (flu) vaccine each year? - Group,Would you agree that it is important for everyone to get an influenza (flu) vaccine each year?,How Does Flu Make You Sick? - First Click,How Does Flu Make You Sick? - Last Click,How Does Flu Make You Sick? - Page Submit,How Does Flu Make You Sick? - Click Count,Influenza is caused by,How does the flu spread?,What chance does a healthy person have of getting the flu during an average year?,How long are you contagious once you have the flu?,You can get the flu from a flu shot.,What is the best time of year for a person to be vaccinated against influenza?,How many hospitalizations were caused by the flu in 2018-2019?,"How would you like us to allocate a $1 donation to the following non-profits on your behalf?


	The National Foundation for Infectious Diseases, an organization dedicated to educating the public and healthcare professionals about the burden, causes, prevention, diagnosis, and treatment of infectious diseases.
	NAMI, or National Alliance on Mental Health, an organization dedicated to improving the quality of life for people with mental illness and their families through support, education, and advocacy. - National Foundation for Infectious Diseases","How would you like us to allocate a $1 donation to the following non-profits on your behalf?


	The National Foundation for Infectious Diseases, an organization dedicated to educating the public and healthcare professionals about the burden, causes, prevention, diagnosis, and treatment of infectious diseases.
	NAMI, or National Alliance on Mental Health, an organization dedicated to improving the quality of life for people with mental illness and their families through support, education, and advocacy. - National Alliance on Mental Health",Score,Q3_6_TEXT - Topics,Q3_6_TEXT - Parent Topics
"{""""ImportId"""":""""startDate"""",""""timeZone"""":""""America/Denver""""}","{""""ImportId"""":""""endDate"""",""""timeZone"""":""""America/Denver""""}","{""""ImportId"""":""""status""""}","{""""ImportId"""":""""ipAddress""""}","{""""ImportId"""":""""progress""""}","{""""ImportId"""":""""duration""""}","{""""ImportId"""":""""finished""""}","{""""ImportId"""":""""recordedDate"""",""""timeZone"""":""""America/Denver""""}","{""""ImportId"""":""""_recordId""""}","{""""ImportId"""":""""recipientLastName""""}","{""""ImportId"""":""""recipientFirstName""""}","{""""ImportId"""":""""recipientEmail""""}","{""""ImportId"""":""""externalDataReference""""}","{""""ImportId"""":""""locationLatitude""""}","{""""ImportId"""":""""locationLongitude""""}","{""""ImportId"""":""""distributionChannel""""}","{""""ImportId"""":""""userLanguage""""}","{""""ImportId"""":""""QID1_TEXT""""}","{""""ImportId"""":""""QID3""""}","{""""ImportId"""":""""QID3_3_TEXT""""}","{""""ImportId"""":""""QID4""""}","{""""ImportId"""":""""QID4_6_TEXT""""}","{""""ImportId"""":""""QID5""""}","{""""ImportId"""":""""QID5_6_TEXT""""}","{""""ImportId"""":""""QID6_NPS_GROUP""""}","{""""ImportId"""":""""QID6""""}","{""""ImportId"""":""""QID25""""}","{""""ImportId"""":""""QID7""""}","{""""ImportId"""":""""QID8_NPS_GROUP""""}","{""""ImportId"""":""""QID8""""}","{""""ImportId"""":""""QID13_FIRST_CLICK""""}","{""""ImportId"""":""""QID13_LAST_CLICK""""}","{""""ImportId"""":""""QID13_PAGE_SUBMIT""""}","{""""ImportId"""":""""QID13_CLICK_COUNT""""}","{""""ImportId"""":""""QID17""""}","{""""ImportId"""":""""QID14""""}","{""""ImportId"""":""""QID18""""}","{""""ImportId"""":""""QID15""""}","{""""ImportId"""":""""QID12""""}","{""""ImportId"""":""""QID20""""}","{""""ImportId"""":""""QID22""""}","{""""ImportId"""":""""QID11_1""""}","{""""ImportId"""":""""QID11_2""""}","{""""ImportId"""":""""SC_eQhUDdCqmmcx6dL""""}","{""""ImportId"""":""""QID4_6_TEXT_c3f5b061ec554cb4be881486Topics""""}","{""""ImportId"""":""""QID4_6_TEXT_c3f5b061ec554cb4be881486ParTopics""""}"
2020-03-07 11:16:23,2020-03-07 11:19:10,IP Address,128.125.148.20,100,166,True,2020-03-07 11:19:10,R_3LX5pIMMEMssNLZ,"","","","",34.032196044921875,-118.283599853515625,anonymous,EN,2000,Male,"",White,"",High School degree or equivalent,"",Passive,8,Yes,Once a year,Promoter,9,"","","","",A virus,Through the air or by touching an infected surface,Between 40 and 50 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","500,000",0.5,0.5,6,"",""
2020-03-07 11:18:21,2020-03-07 11:22:06,IP Address,63.249.50.99,100,225,True,2020-03-07 11:22:06,R_3qBur8kpwO8AtIZ,"","","","",34.0543975830078125,-118.2440032958984375,anonymous,EN,1993,Female,"",Other (please specify),Hispanic,Bachelor’s degree,"",Passive,7,Yes,Only when necessary,Promoter,10,94.312,94.312,95.319,1,"","","","","","","",0.5,0.5,0,"",""
2020-03-07 11:23:38,2020-03-07 11:25:08,IP Address,24.7.92.86,100,90,True,2020-03-07 11:25:08,R_3lRe749CBxcuAIY,"","","","",37.6873016357421875,-121.89569854736328125,anonymous,EN,1962,Male,"",Other (please specify),Middle eastern ,Doctorate,"",Passive,8,Yes,Once a year,Detractor,3,"","","","","","","","","","","",1,0,0,"",""
2020-03-07 11:22:55,2020-03-07 11:29:14,IP Address,107.77.211.226,100,379,True,2020-03-07 11:29:14,R_1q2EYNpRFjAu2vi,"","","","",37.6735992431640625,-122.09439849853515625,anonymous,EN,1994,Female,"",White,"",Bachelor’s degree,"",Detractor,6,Yes,Only when necessary,Promoter,10,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","500,000",0,1,7,"",""
2020-03-07 11:31:29,2020-03-07 11:34:16,IP Address,23.243.5.219,100,166,True,2020-03-07 11:34:17,R_2a8hADnECEUcwpd,"","","","",33.95599365234375,-118.388702392578125,anonymous,EN,1959,Female,"",White,"",Bachelor’s degree,"",Promoter,9,Yes,Once in 6 months,Promoter,10,69.844,69.844,71.485,1,"","","","","","","",0,1,0,"",""
2020-03-07 11:42:44,2020-03-07 11:45:45,IP Address,47.149.218.253,100,181,True,2020-03-07 11:45:46,R_1BYgHMc0gARcT20,"","","","",33.761505126953125,-118.07630157470703125,anonymous,EN,1963,Female,"",White,"",Master’s degree,"",Detractor,6,Yes,Once a year,Passive,8,0,0,98.187,0,"","","","","","","",0.2,0.8,0,"",""
2020-03-07 11:45:43,2020-03-07 11:46:55,IP Address,174.193.197.172,100,71,True,2020-03-07 11:46:55,R_3CK23jHTF1Jmjwt,"","","","",34.10040283203125,-118.2946014404296875,anonymous,EN,1994,Female,"",Other (please specify),White and Asian,Bachelor’s degree,"",Promoter,10,Yes,Once a year,Promoter,9,"","","","","","","","","","","",0.13,0.87,0,"",""
2020-03-07 11:50:23,2020-03-07 11:51:51,IP Address,71.193.196.139,100,87,True,2020-03-07 11:51:51,R_2fjNvkQbdj9pQIM,"","","","",45.5287933349609375,-122.682098388671875,anonymous,EN,1993,Female,"",Other (please specify),Middle-Eastern,Bachelor’s degree,"",Passive,8,Yes,Once a year,Promoter,10,0,0,3.461,0,"","","","","","","",0.5,0.5,0,"",""
2020-03-07 11:49:56,2020-03-07 11:53:53,IP Address,76.168.96.238,100,237,True,2020-03-07 11:53:54,R_9KU2ob1tq9k3g0F,"","","","",34.1056976318359375,-118.3285980224609375,anonymous,EN,1997,Female,"",Hispanic or Latino,"",Bachelor’s degree,"",Promoter,9,Yes,Only when necessary,Passive,8,"","","","",A virus,Through the air or by touching an infected surface,Between 70 and 80 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","100,000",0.2,0.8,5,"",""
2020-03-07 11:52:49,2020-03-07 11:54:09,IP Address,174.203.14.41,100,79,True,2020-03-07 11:54:09,R_3fZXAlxrZte1T5V,"","","","",40.8000030517578125,-73.9763031005859375,anonymous,EN,1983,Female,"",White,"",Bachelor’s degree,"",Passive,8,Yes,Only when necessary,Passive,7,"","","","",A virus,Through the air or by touching an infected surface,Between 70 and 80 percent,3-4 days after becoming sick,True,"In autumn, just before the peak flu season","100,000",0.62,0.38,3,"",""
2020-03-07 11:55:56,2020-03-07 11:57:10,IP Address,76.168.96.238,100,73,True,2020-03-07 11:57:10,R_1OTRGo4465o0nyq,"","","","",34.1056976318359375,-118.3285980224609375,anonymous,EN,1997,Female,"",White,"",Bachelor’s degree,"",Passive,8,Yes,Only when necessary,Detractor,3,"","","","","","","","","","","",0,1,0,"",""
2020-03-07 11:53:40,2020-03-07 12:01:28,IP Address,23.243.5.219,100,467,True,2020-03-07 12:01:28,R_1HklJrTYkp5kJZg,"","","","",33.95599365234375,-118.388702392578125,anonymous,EN,2004,Female,"",Other (please specify),"Latina, Asian, White",Less than a high school diploma,"",Promoter,9,Yes,Once in 6 months,Promoter,10,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,True,"In autumn, just before the peak flu season","500,000",0,1,6,"",""
2020-03-07 12:00:10,2020-03-07 12:02:03,IP Address,69.181.111.110,100,113,True,2020-03-07 12:02:04,R_2OUdFQFVzLtCSd3,"","","","",37.25390625,-122.0637969970703125,anonymous,EN,"",Male,"",Asian,"",Master’s degree,"",Promoter,9,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.5,0.5,0,"",""
2020-03-07 12:00:13,2020-03-07 12:02:06,IP Address,76.168.154.37,100,113,True,2020-03-07 12:02:06,R_22z6Kf8DHsYbklg,"","","","",34.076202392578125,-118.3029022216796875,anonymous,EN,1997,Female,"",Asian,"",Bachelor’s degree,"",Detractor,6,Yes,Once a year,Detractor,5,59.659,59.991,61.969,2,"","","","","","","",0,1,0,"",""
2020-03-07 12:00:06,2020-03-07 12:02:09,IP Address,172.250.123.103,100,122,True,2020-03-07 12:02:09,R_1FeVpEk4bbIA0nB,"","","","",34.0675048828125,-118.3520965576171875,anonymous,EN,1996,Female,"",White,"",Bachelor’s degree,"",Passive,8,Yes,Once in 6 months,Promoter,10,63.856,63.856,65.027,1,"","","","","","","",0.6,0.4,0,"",""
2020-03-07 12:01:24,2020-03-07 12:02:50,IP Address,75.25.125.163,100,85,True,2020-03-07 12:02:50,R_qws7IaDl3CZholP,"","","","",37.25390625,-122.0637969970703125,anonymous,EN,1977,Male,"",Other (please specify),Indian,Master’s degree,"",Passive,8,Yes,Once a year,Detractor,2,"","","","","","","","","","","",0.17,0.83,0,"",""
2020-03-07 12:01:16,2020-03-07 12:03:41,IP Address,76.168.96.238,100,144,True,2020-03-07 12:03:41,R_2AMhKN5tne5c3rZ,"","","","",34.1056976318359375,-118.3285980224609375,anonymous,EN,1997,Female,"",White,"",Bachelor’s degree,"",Passive,8,Yes,Only when necessary,Detractor,4,"","","","",A virus,Through the air or by touching an infected surface,Between 0 and 2 percent,1 day before symptoms start and up to 1 week after becoming sick,True,"In autumn, just before the peak flu season","100,000",0,1,4,"",""
2020-03-07 12:01:43,2020-03-07 12:05:33,IP Address,107.77.206.189,100,229,True,2020-03-07 12:05:33,R_2pVwNCp6lfWVOPj,"","","","",41.848297119140625,-87.651702880859375,anonymous,EN,1995,Female,"",Other (please specify),Middle Eastern,Bachelor’s degree,"",Detractor,5,Yes,Once in 6 months,Detractor,4,0,0,12.701,0,"","","","","","","",0,1,0,"",""
2020-03-07 12:58:55,2020-03-07 13:02:21,IP Address,174.194.143.86,100,205,True,2020-03-07 13:02:22,R_a2vNYeavUuMB3Et,"","","","",37.30279541015625,-121.998199462890625,anonymous,EN,1977,Female,"",Asian,"",Other (please specify),Double bachelors,Passive,7,Yes,Once a year,Promoter,10,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,3-4 days after becoming sick,True,"In autumn, just before the peak flu season","500,000",1,0,5,"",""
2020-03-07 13:03:21,2020-03-07 13:04:43,IP Address,172.58.38.166,100,81,True,2020-03-07 13:04:43,R_O3flbKLaDv7XWW5,"","","","",38.534698486328125,-121.4441986083984375,anonymous,EN,1976,Male,"",Asian,"",Master’s degree,"",Passive,8,Yes,Once a year,Detractor,6,"","","","","","","","","","","",0.7,0.3,0,"",""
2020-03-07 13:10:50,2020-03-07 13:12:02,IP Address,174.194.137.215,100,72,True,2020-03-07 13:12:03,R_1F49LBrF0LpMEfE,"","","","",37.95770263671875,-122.0756988525390625,anonymous,EN,1981,Female,"",Asian,"",Master’s degree,"",Passive,8,Yes,Once in 6 months,Promoter,10,0,0,9.8,0,"","","","","","","",0.5,0.5,0,"",""
2020-03-07 13:21:54,2020-03-07 13:23:54,IP Address,73.93.138.10,100,120,True,2020-03-07 13:23:55,R_W6xUUfArT62OCfD,"","","","",37.341705322265625,-121.9752960205078125,anonymous,EN,1997,Male,"",Black or African American,"",High School degree or equivalent,"",Passive,8,Yes,Only when necessary,Detractor,6,"","","","",A virus,Through the air or by touching an infected surface,Between 40 and 50 percent,1 day before symptoms start and up to 1 week after becoming sick,True,"In autumn, just before the peak flu season","500,000",0.4,0.6,5,"",""
2020-03-07 13:28:44,2020-03-07 13:39:44,IP Address,73.158.117.207,100,659,True,2020-03-07 13:39:44,R_2PoFU3GVp4vJDSC,"","","","",37.4651031494140625,-122.14300537109375,anonymous,EN,1080,Female,"",Asian,"",Master’s degree,"",Promoter,9,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.49,0.51,0,"",""
2020-03-07 13:38:44,2020-03-07 13:40:52,IP Address,76.169.183.217,100,128,True,2020-03-07 13:40:53,R_3FRQQ02iL2WxMKT,"","","","",34.0290069580078125,-118.4004974365234375,anonymous,EN,1992,Male,"",White,"",Bachelor’s degree,"",Passive,8,No,Once a year,Detractor,5,54.659,54.659,56.595,1,"","","","","","","",0,1,0,"",""
2020-03-07 13:44:39,2020-03-07 13:46:04,IP Address,99.88.42.159,100,85,True,2020-03-07 13:46:04,R_2atYLDrTHENzmJE,"","","","",37.4967041015625,-122.2664947509765625,anonymous,EN,1981,Female,"",Asian,"",Bachelor’s degree,"",Promoter,10,Yes,Once in 6 months,Promoter,10,0,0,10.539,0,"","","","","","","",0,1,0,"",""
2020-03-07 13:45:25,2020-03-07 13:47:28,IP Address,73.241.223.195,100,122,True,2020-03-07 13:47:28,R_31hesDlOn6ZmavD,"","","","",37.3511962890625,-121.8845977783203125,anonymous,EN,1977,Female,"",Asian,"",Master’s degree,"",Passive,8,Yes,Once in 6 months,Promoter,9,"","","","","","","","","","","",0.16,0.84,0,"",""
2020-03-07 14:17:25,2020-03-07 14:19:08,IP Address,172.58.39.35,100,102,True,2020-03-07 14:19:08,R_2mbuwW3B0OhUPkZ,"","","","",38.4799041748046875,-121.445098876953125,anonymous,EN,1975,Male,"",Asian,"",Bachelor’s degree,"",Detractor,6,Yes,Once a year,Detractor,6,"","","","",A virus,Through the air or by touching an infected surface,Between 40 and 50 percent,1 week after becoming sick,False,"In autumn, just before the peak flu season","500,000",0.52,0.48,5,"",""
2020-03-07 14:40:13,2020-03-07 14:42:22,IP Address,107.77.214.226,100,128,True,2020-03-07 14:42:22,R_3QSNM8SO1h69Dks,"","","","",37.6735992431640625,-122.09439849853515625,anonymous,EN,1981,Female,"",Asian,"",Bachelor’s degree,"",Passive,8,Yes,Once a year,Promoter,10,"","","","",A type of bacteria,Through spoiled food,Between 40 and 50 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","100,000",0.77,0.23,3,"",""
2020-03-07 14:45:32,2020-03-07 14:46:36,IP Address,73.197.176.142,100,63,True,2020-03-07 14:46:36,R_1i4mIElQNkKakJw,"","","","",40.485595703125,-74.62650299072265625,anonymous,EN,1999,Male,"",White,"",High School degree or equivalent,"",Passive,8,Yes,Once a year,Detractor,5,"","","","","","","","","","","",1,0,0,"",""
2020-03-07 14:45:16,2020-03-07 14:48:51,IP Address,107.77.226.48,100,214,True,2020-03-07 14:48:51,R_27Cr6qlqEGYKfkU,"","","","",40.782806396484375,-73.9745025634765625,anonymous,EN,1996,Male,"",White,"",Bachelor’s degree,"",Promoter,9,Yes,Once a year,Promoter,10,94.539,94.539,102.46,1,"","","","","","","",0.5,0.5,0,"",""
2020-03-07 14:47:59,2020-03-07 14:50:05,IP Address,24.191.222.233,100,126,True,2020-03-07 14:50:06,R_2rO9YGtLmSZMtFf,"","","","",40.93499755859375,-74.1175994873046875,anonymous,EN,1999,Male,"",White,"",Bachelor’s degree,"",Passive,7,Yes,Once a year,Passive,7,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,True,"In autumn, just before the peak flu season","100,000",0.6,0.4,5,"",""
2020-03-07 14:49:40,2020-03-07 14:51:10,IP Address,98.225.194.174,100,89,True,2020-03-07 14:51:10,R_3MnxkyjVEMBiKkx,"","","","",40.14349365234375,-75.377899169921875,anonymous,EN,1997,Male,"",White,"",Bachelor’s degree,"",Passive,7,Yes,Once a year,Promoter,10,0,0,7.173,0,"","","","","","","",0.51,0.49,0,"",""
2020-03-07 14:50:36,2020-03-07 14:51:56,IP Address,71.230.112.95,100,80,True,2020-03-07 14:51:56,R_1HoS8ujepDFgH8L,"","","","",39.9340057373046875,-75.160003662109375,anonymous,EN,1996,Male,"",White,"",Bachelor’s degree,"",Passive,8,No,Only when necessary,Detractor,5,"","","","","","","","","","","",0.5,0.5,0,"",""
2020-03-07 14:55:37,2020-03-07 14:57:37,IP Address,172.58.31.238,100,120,True,2020-03-07 14:57:38,R_31R9AznAQl587Yn,"","","","",34.12109375,-117.4362030029296875,anonymous,EN,1997,Male,"",White,"",Bachelor’s degree,"",Passive,8,Yes,Once a year,Promoter,10,"","","","",A virus,Through the air or by touching an infected surface,Between 40 and 50 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","500,000",0.49,0.51,6,"",""
2020-03-07 15:01:21,2020-03-07 15:03:24,IP Address,24.189.17.158,100,123,True,2020-03-07 15:03:24,R_22AkRyMU7pNcPFx,"","","","",40.5832061767578125,-73.65940093994140625,anonymous,EN,1999,Male,"",White,"",High School degree or equivalent,"",Promoter,9,Yes,Once a year,Passive,7,0,0,53.477,0,"","","","","","","",0.5,0.5,0,"",""
2020-03-07 15:10:11,2020-03-07 15:13:27,IP Address,174.201.36.44,100,195,True,2020-03-07 15:13:27,R_1n2v86rKa47OWJq,"","","","",39.91949462890625,-75.15650177001953125,anonymous,EN,1998,Male,"",White,"",High School degree or equivalent,"",Detractor,6,Yes,Once a year,Promoter,10,53.13,53.13,54.436,1,"","","","","","","",0.52,0.48,0,"",""
2020-03-07 15:12:16,2020-03-07 15:14:50,IP Address,24.5.7.119,100,153,True,2020-03-07 15:14:50,R_2ab2RJZvwpqkutr,"","","","",37.269195556640625,-121.845001220703125,anonymous,EN,1976,Prefer not to answer,"",Prefer not to answer,"",Prefer not to answer,"",Passive,8,Yes,Only when necessary,Promoter,10,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,False,Any time; it makes no difference,"500,000",1,0,6,"",""
2020-03-07 15:12:06,2020-03-07 15:17:01,IP Address,174.242.80.92,100,295,True,2020-03-07 15:17:02,R_2vdKXa2tKUrgwBO,"","","","",42.37249755859375,-71.181396484375,anonymous,EN,1996,Male,"",White,"",Bachelor’s degree,"",Promoter,9,Yes,Once a year,Detractor,0,"","","","","","","","","","","",0.93,0.07,0,"",""
2020-03-07 15:16:48,2020-03-07 15:18:15,IP Address,99.73.34.74,100,87,True,2020-03-07 15:18:15,R_2cpEcGvfTkx7jDe,"","","","",37.294097900390625,-121.89959716796875,anonymous,EN,2020,Prefer not to answer,"",Prefer not to answer,"",Prefer not to answer,"",Detractor,5,No,Only when necessary,Detractor,0,"","","","","","","","","","","",0,1,0,"",""
2020-03-07 15:28:13,2020-03-07 15:31:32,IP Address,172.90.7.239,100,199,True,2020-03-07 15:31:33,R_1PSLTlFuso93lEX,"","","","",34.076202392578125,-118.3029022216796875,anonymous,EN,1993,Female,"",Prefer not to answer,"",Bachelor’s degree,"",Passive,7,Yes,Once a year,Promoter,10,0,0,72.161,0,"","","","","","","",0.5,0.5,0,"",""
2020-03-07 15:54:12,2020-03-07 15:56:41,IP Address,107.77.226.11,100,148,True,2020-03-07 15:56:41,R_1JPLiabJq4HA2vS,"","","","",40.7808990478515625,-73.95020294189453125,anonymous,EN,1996,Male,"",White,"",Bachelor’s degree,"",Passive,7,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.5,0.5,0,"",""
2020-03-07 16:18:30,2020-03-07 16:20:32,IP Address,69.118.201.22,100,122,True,2020-03-07 16:20:32,R_2VjOO4gZu2HmTKg,"","","","",40.9456939697265625,-74.1826019287109375,anonymous,EN,1997,Male,"",White,"",Bachelor’s degree,"",Passive,7,Yes,Only when necessary,Passive,8,0,0,4.71,0,"","","","","","","",0.8,0.2,0,"",""
2020-03-07 16:20:18,2020-03-07 16:23:30,IP Address,75.82.200.146,100,191,True,2020-03-07 16:23:30,R_4SZWJgdCAkFvFUB,"","","","",34.0030059814453125,-118.4297943115234375,anonymous,EN,1992,Male,"",White,"",Bachelor’s degree,"",Passive,8,Yes,Once a year,Passive,8,"","","","",A virus,Through the air or by touching an infected surface,Between 40 and 50 percent,1 day before symptoms start and up to 1 week after becoming sick,False,Any time; it makes no difference,"30,000",0.5,0.5,4,"",""
2020-03-07 16:21:14,2020-03-07 16:24:12,IP Address,98.116.229.58,100,178,True,2020-03-07 16:24:12,R_2cubf9SyMSdj2vo,"","","","",40.78900146484375,-73.7261962890625,anonymous,EN,1999,Male,"",White,"",High School degree or equivalent,"",Passive,7,Yes,Once a year,Passive,8,0,0,62.427,0,"","","","","","","",0.5,0.5,0,"",""
2020-03-07 17:03:47,2020-03-07 17:06:00,IP Address,23.243.5.219,100,133,True,2020-03-07 17:06:01,R_1eUWwIruib69lN3,"","","","",33.95599365234375,-118.388702392578125,anonymous,EN,1954,Male,"",Hispanic or Latino,"",Doctorate,"",Passive,8,Yes,Once a year,Promoter,10,"","","","","","","","","","","",1,0,0,"",""
2020-03-07 17:49:04,2020-03-07 17:52:02,IP Address,174.194.203.160,100,178,True,2020-03-07 17:52:02,R_2xM3wMW38XlnFFH,"","","","",37.7220001220703125,-122.16429901123046875,anonymous,EN,1997,Male,"",Black or African American,"",High School degree or equivalent,"",Promoter,10,Yes,Only when necessary,Promoter,10,"","","","",I don't know what causes influenza,Through the air or by touching an infected surface,Between 10 and 20 percent,3-4 days after becoming sick,True,"In autumn, just before the peak flu season","100,000",0,1,3,"",""
2020-03-07 18:04:48,2020-03-07 18:11:19,IP Address,107.77.227.13,100,390,True,2020-03-07 18:11:19,R_2VPJ9hNiXFxoiKW,"","","","",34.0675048828125,-118.3520965576171875,anonymous,EN,1992,Male,"",Hispanic or Latino,"",Bachelor’s degree,"",Passive,8,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.65,0.35,0,"",""
2020-03-07 18:30:15,2020-03-07 18:32:38,IP Address,107.77.228.9,100,143,True,2020-03-07 18:32:38,R_u8NV2VprqvwIIZX,"","","","",34.0446929931640625,-118.448699951171875,anonymous,EN,1990,Male,"",White,"",Doctorate,"",Passive,7,Yes,Only when necessary,Promoter,10,0,0,75.814,0,"","","","","","","",1,0,0,"",""
2020-03-08 22:43:03,2020-03-08 22:46:20,IP Address,172.249.70.137,100,196,True,2020-03-08 22:46:20,R_2YxD3ybMQS8BjFD,"","","","",34.054901123046875,-118.2577972412109375,anonymous,EN,1993,Female,"",Asian,"",Bachelor’s degree,"",Passive,8,Yes,Only when necessary,Promoter,10,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","500,000",0,1,7,"",""
2020-03-04 00:54:39,2020-03-04 00:54:45,IP Address,75.25.125.163,84,5,False,2020-03-11 01:54:53,R_1nMZEzacbf6ZrYo,"","","","","","",anonymous,EN,"","","","","","","","","","","","","","","","","","","","","","","","","","",0,"",""
2020-03-06 10:09:43,2020-03-06 10:09:47,IP Address,63.249.50.99,22,3,False,2020-03-13 11:09:52,R_vCE6eK0t11kUG2J,"","","","","","",anonymous,EN,"","","","","","","","","","","","","","","","","","","","","","","","","","",0,"",""
2020-03-06 10:23:46,2020-03-06 10:26:42,IP Address,73.233.90.15,96,176,False,2020-03-13 11:27:35,R_2Slgfk7BY1Ic7JL,"","","","","","",anonymous,EN,1996,Male,"",White,"",Bachelor’s degree,"",Passive,7,Yes,Only when necessary,Promoter,10,0,0,65.153,0,"","","","","","","","","",0,"",""
2020-03-06 10:29:34,2020-03-06 10:29:48,IP Address,73.233.90.15,96,14,False,2020-03-13 11:29:49,R_117vmal5QrQI9D0,"","","","","","",anonymous,EN,"","","","","","","","","","","","","","","","","","","","","","","","","","",0,"",""
2020-03-06 10:29:13,2020-03-06 10:29:26,IP Address,73.233.90.15,96,13,False,2020-03-13 11:29:51,R_3mmKn04UbIWoDfM,"","","","","","",anonymous,EN,"","","","","","","","","","","","","",0,0,1.598,0,"","","","","","","","","",0,"",""
2020-03-06 10:29:54,2020-03-06 10:33:56,IP Address,73.233.90.15,78,241,False,2020-03-13 11:34:02,R_RQqGIjRhthqWbV7,"","","","","","",anonymous,EN,"","","","","","","","","","","","","","","","","",A virus,Through the air or by touching an infected surface,Between 0 and 2 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","30,000","","",5,"",""
2020-03-07 11:08:47,2020-03-07 11:09:44,IP Address,174.195.148.164,96,57,False,2020-03-14 12:10:05,R_3n3ku1RWWbLkATH,"","","","","","",anonymous,EN,1962,Male,"",White,"",Doctorate,"",Passive,8,Yes,Once a year,Passive,8,"","","","","","","","","","","","","",0,"",""
2020-03-07 12:32:33,2020-03-07 12:34:48,IP Address,73.93.94.57,96,134,False,2020-03-14 13:34:52,R_2pLjhk29yXOpLpu,"","","","","","",anonymous,EN,1992,Female,"",White,"",Bachelor’s degree,"",Promoter,10,Yes,Only when necessary,Detractor,5,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,True,"In autumn, just before the peak flu season","30,000","","",5,"",""
